Art_number;Category;Title;Description;Price;PriceOld;Currency;ImgUrl;Deeplink1;Brand;EAN;Shipping
4559;Bento-box;Die Bento Box Made in France - MB Original Flower schwarz;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-black-romantic-bouquet-monbento.png;https://www.monbento.de/monbento-mb-original-bento-box-flower-schwarz.html;monbento;3,76019E+12;7,9
4561;Bento-box;Die Bento Box Made in France - MB Original Flower Litchi;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-flowermood-licthi-iso.png;https://www.monbento.de/monbento-mb-original-bento-box-flower-litchi.html;monbento;3,76019E+12;7,9
4562;Bento-box;Die Bento Box Made in France - MB Original Flower Matcha;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mbo-flowermood-matcha-iso.png;https://www.monbento.de/monbento-mb-original-bento-box-flower-matcha.html;monbento;3,76019E+12;7,9
4424;Bento-box;Die Bento Box Made in France - MB Original Blossom;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-blossom-japanese-flower-monbento.png;https://www.monbento.de/monbento-mb-original-bento-box-blossom.html;monbento;3,76019E+12;7,9
4471;Bento-box;Die Bento Box Made in France - MB Original English Garden;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-green-english-garden-monbento.png;https://www.monbento.de/monbento-mb-original-bento-box-grun-english-garden.html;monbento;3,76019E+12;7,9
4468;Bento-box;Die Bento Box Made in France - MB Original Brique / weiß;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;35;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-orange-brique-monbento_1.png;https://www.monbento.de/monbento-mb-original-bento-box-brique.html;monbento;3,76019E+12;7,9
4469;Bento-box;Die Bento Box Made in France - MB Original Blush / weiß;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;35;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-pink-blush-monbento.png;https://www.monbento.de/monbento-mb-original-bento-box-blush.html;monbento;3,76019E+12;7,9
4470;Bento-box;Die Bento Box Made in France - MB Original Navy;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;35;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-blue-navy-monbento.png;https://www.monbento.de/monbento-mb-original-bento-box-navy.html;monbento;3,76019E+12;7,9
4334;Bento-box;Die Bento Box Made in France - MB Original Jungle;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-lunch-box-jungle.png;https://www.monbento.de/monbento-mb-original-bento-box-jungle.html;monbento;3,76019E+12;7,9
4335;Bento-box;Die Bento Box Made in France - MB Original Porcelaine;Erstgeborenes Produkt von monbento, das MB Original Bento ist der ideale Partner für Ihre Mahlzeiten im Büro, die Picknicke und die anderen nomadischen Mahlzeiten. Einzigartig ist sie auch durch ihr Design und ihre hochwertigen Kunststoffe, der eine nachhaltige Nutzung sicherstellt, aber auch durch ihr Soft Touch-Verarbeitung.;38,9;;€;https://www.monbento.com/media/resized/532/532//media/catalog/product/m/b/mb-original-bento-box-lunch-box-porcelaine_1.png;https://www.monbento.de/monbento-mb-original-bento-box-porcelaine.html;monbento;3,76019E+12;7,9
